,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),skills,name
0,1,0,0,1,"MS-Excel, MS-Word, Deep Learning, MySQL, Python, SQL",1
1,2,0,0,0,"Git, GitHub, Linux, Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Amazon Web Services (AWS), AngularJS, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Docker, Figma, Firebase, Google Cloud Computing, HTML, Java, JavaScript, MS-Excel, MongoDB, Node.js, Postman, Python, REST API, ReactJS, SQL, Selenium, TypeScript, Database Testing",2
2,2,2,0,0,"Amazon Web Services (AWS), Docker, Hadoop, MS-Excel, Machine Learning, Python, SQL, Power BI",3
3,3,2,2,0,"Adobe XD, BIG DATA ANALYTICS, Canva, Data Analytics, Data Science, Figma, MS-Excel, MS-PowerPoint, Python, Adobe Photoshop, C++ Programming, Data Structures, Machine Learning, Natural Language Processing (NLP), SQL, Tableau, Amazon Web Services (AWS), Computer Vision",4
4,2,2,0,0,"C++ Programming, Data Science, Machine Learning, Python",5
5,2,2,0,2,"Data Analytics, Data Science, MS-Excel, R Programming, Statistical Modeling, Artificial Intelligence, Deep Learning, Machine Learning, Neural Networks, Python",6
6,2,1,2,0,"C++ Programming, CSS, Data Analytics, HTML, MS-Excel, Natural Language Processing (NLP), Python, Data Science, Google Analytics, Machine Learning, SQL",7
7,2,2,0,1,"Atmel AVR, Data Analytics, Data Science, MS-Excel, Machine Learning, Power BI, Python, Raspberry Pi, SQL, Computer Vision, Deep Learning",8
8,2,1,1,0,"C++ Programming, Data Analytics, Data Structures, Git, GitHub, Java, Python, SQL, Artificial intelligence, Data Science, Database Management System (DBMS), Machine Learning, Natural Language Processing (NLP)",9
9,2,2,0,1,"Android, Artificial Intelligence, C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Java, Machine Learning, Python, SQL, Cloud Computing, Data Science, Deep Learning, German Proficiency (Spoken), Linux, Neural Networks, SQLite",10
10,2,0,0,0,"MS-Excel, MS-PowerPoint, Power BI, Python, R Programming, Visual Basic (VB)",11
11,2,2,0,1,"MS-Excel, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Machine Learning, MySQL, Python, C++ Programming, Computer Vision, Deep Learning",12
12,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Python, SQL",13
13,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, SQL",14
14,1,1,0,0,"CSS, Data Analytics, Database Management System (DBMS), HTML, Java, MS-Excel, Power BI, Tableau, Data Science, Machine Learning, MySQL, Python",15
15,2,2,1,2,"Database Management System (DBMS), English Proficiency (Written), MS-Excel, MS-Word, C Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Figma, Java, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, UI & UX Design, Video Editing, Apache, Blogging, Computer Vision, Natural Language Processing (NLP), Search Engine Optimization (SEO), Social Media Marketing, User Interface (UI) Development",16
16,0,0,0,0,Software Testing,17
17,2,2,0,0,"Unix, BIG DATA ANALYTICS, Java, Machine Learning, Python, SQL",18
18,0,2,0,0,"Data Analytics, HTML, Machine Learning, CSS, Java",19
19,2,2,0,0,"Machine Learning, Python, C++ Programming, Computer Networks, Data Analytics, Data Science, MS-Excel",20
20,3,3,3,3,"Data Analytics, Deep Learning, Flask, Image Processing, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Power BI, Tableau",21
21,2,1,0,0,"Python, Artificial Intelligence, Data Analytics, Machine Learning, Microsoft Azure, R Programming",22
22,2,2,0,1,"MS-Excel, Machine Learning, Power BI, Python, SQL, Data Analytics, Data Science, Deep Learning",23
23,2,2,2,1,"C++ Programming, Chemistry, English Proficiency (Spoken), Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, SQL, Unity 3D, Algorithms, Android, Artificial intelligence, Blender 3D, C Programming, C#.NET, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Written), HTML, MS-Excel, MS-Office, MongoDB, Tableau, Unity Engine",24
24,0,0,0,0,"Accounting, English Proficiency (Spoken), MS-Excel, MS-Office",25
25,2,2,1,0,"Algorithms, C++ Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Computer Vision, Data Analytics, Natural Language Processing (NLP)",26
26,2,2,2,0,"MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, SQL",27
27,2,1,0,0,"Data Analytics, MS-Excel, Python, Statistics, Machine Learning, SQL, Tableau",28
28,2,2,0,0,"Amazon Web Services (AWS), Artificial Intelligence, Java, Machine Learning, Python",29
29,2,2,1,1,"Cloud Computing, Amazon Web Services (AWS), C Programming, Computer Networking, Java, Machine Learning, Python, Blockchain, CSS, Deep Learning, Flutter, Internet of Things (IoT), MySQL, Natural Language Processing (NLP), PHP, SQL",30
30,1,2,2,2,"Amazon Web Services (AWS), Artificial intelligence, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, Tableau, Python",31
31,1,1,1,1,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, MS-Excel, MS-Office, Statistical Modeling, Statistics, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Project Management, Python, SPSS, SQL, Tableau",32
32,3,2,0,2,"Python, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Robotic Process Automation (RPA), SQL, Power BI, Tableau",33
33,2,0,0,0,"Data Science, Python",34
34,3,2,2,2,"Data Science, Database Management System (DBMS), Python, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), GNU Octave, Hadoop, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, NoSQL, Power BI, R Programming, SQL, Tableau, OpenCV",35
35,1,1,2,1,"Artificial Intelligence, Data Structures, Java, Natural Language Processing (NLP), CSS, Deep Learning, HTML, JavaScript, Machine Learning, Python, SQL",36
36,3,2,3,3,"Computer Vision, Data Science, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Amazon Web Server (AWS), Amazon Web Services (AWS), C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Django, Flask, HTML, Java, JavaScript, Machine Learning, R Programming, Statistics",37
37,2,2,0,1,"Data Analytics, Machine Learning, Python, CSS, Deep Learning, HTML, Neural Networks",38
38,2,0,0,0,"Data Science, Python, SQL",39
39,2,2,0,0,"Data Science, Data Structures, Machine Learning, Python, Tableau, Data Analytics, Database Management System (DBMS)",40
40,2,1,1,0,"CSS, Data Analytics, HTML, Python, C++ Programming, Data Science, Django, Flask, Machine Learning, Natural Language Processing (NLP), PHP, SQL",41
41,2,3,0,3,"C++ Programming, Data Structures, Deep Learning, Machine Learning, Data Science, Database Management System (DBMS), Python",42
42,2,1,0,0,"Data Analytics, Database Management System (DBMS), English Proficiency (Written), MS-Excel, Python, SQL, Statistics, Tableau, Machine Learning",43
43,0,0,0,0,"MS-Office, C#, C++ Programming, English Proficiency (Written), HTML, Internet of Things (IoT), JavaScript, MS-Excel, Social Media Marketing, Software Testing",44
44,2,1,0,0,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, C Programming, C++ Programming, MS-Excel, Python, Machine Learning",45
45,2,1,0,0,"Data Analytics, MS-Excel, Python, Research and Analytics, SQL, Data Science, Machine Learning, Tableau",48
46,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Tableau, SQL",49
47,1,1,0,0,"MS-Excel, MS-Office, Data Analytics, Image Processing, Machine Learning, Python, R Programming, SQL",50
48,3,2,1,0,"Python, Machine Learning, Artificial Intelligence, Natural Language Processing (NLP), SQL",51
49,2,2,1,0,"MS-Excel, Machine Learning, Power BI, Python, SQL, Tableau, Natural Language Processing (NLP)",52
